dialect,wer,cer,reference,hypothesis,substitutions,deletions,insertions,alignment_viz
BE,100.0,53.03030303030303,Schnell wurde das Haus zu einer beliebten Adresse der Prominenten.,Schnauish Tuso der beliebtadrasse vor der Prominante wurde.,8,2,0,"REF:  schnell    wurde  das  haus            zu   einer  beliebten   adresse  der  prominenten.
HYP:  schnauish  tuso   der  beliebtadrasse  vor  der    prominante  wurde.   ***  ************
TYPE: S          S      S    S               S    S      S           S        D    D           "
AG,100.0,38.18181818181819,In der Hauptphase dreht der Körper um seine Längsachse.,Ich haubtvusedrete Körper und sie ni Langsochse.,7,2,0,"REF:  in   der             hauptphase  dreht  der  körper  um           seine  längsachse.
HYP:  ich  haubtvusedrete  körper      und    sie  ni      langsochse.  *****  ***********
TYPE: S    S               S           S      S    S       S            D      D          "
BE,100.0,55.55555555555556,Ebenso gelang die Ansiedlung auf der Taimyr-Halbinsel.,Aberso ist datsächlich auf der Timir Haubinsel klungen.,4,1,2,"REF:  ebenso  gelang  die          ansiedlung  auf  der  *****  *********  taimyr-halbinsel.
HYP:  aberso  ist     datsächlich  **********  auf  der  timir  haubinsel  klungen.         
TYPE: S       S       S            D           C    C    I      I          S                "
TG,100.0,50.90909090909091,In Containern können auch keine Treiber geladen werden.,Ie Grundein noch in Daukeit dribeklade Werde.,7,1,0,"REF:  in  containern  können  auch  keine    treiber     geladen  werden.
HYP:  ie  grundein    noch    in    daukeit  dribeklade  werde.   *******
TYPE: S   S           S       S     S        S           S        D      "
BE,100.0,39.705882352941174,Dies zumeist in den besonders fruchtbaren Küstenregionen des Landes.,Das mincht ide psundrik fruchtbare Küschte Regione vom Land.,9,0,0,"REF:  dies  zumeist  in   den       besonders   fruchtbaren  küstenregionen  des  landes.
HYP:  das   mincht   ide  psundrik  fruchtbare  küschte      regione         vom  land.  
TYPE: S     S        S    S         S           S            S               S    S      "
ZH,100.0,33.33333333333333,Das Projekt endete nach der Ausschreibung.,Sprojekt andet noch dos schribig.,5,1,0,"REF:  das       projekt  endete  nach  der        ausschreibung.
HYP:  sprojekt  andet    noch    dos   schribig.  **************
TYPE: S         S        S       S     S          D             "
TG,100.0,27.86885245901639,Diese Stauung kann durch eine portale Hypertension auftreten.,Die Staui Kan dure potale Hypotension uftrete.,7,1,0,"REF:  diese  stauung  kann  durch  eine    portale      hypertension  auftreten.
HYP:  die    staui    kan   dure   potale  hypotension  uftrete.      **********
TYPE: S      S        S     S      S       S            S             D         "
BE,100.0,45.588235294117645,"Je schwerer ein Zug ist, desto höhere Kräfte können dabei auftreten.",Ihr Schwar erzog ich dessdo höcher die Kraft Ceudbi auftrate.,10,1,0,"REF:  je   schwerer  ein    zug  ist,    desto   höhere  kräfte  können  dabei      auftreten.
HYP:  ihr  schwar    erzog  ich  dessdo  höcher  die     kraft   ceudbi  auftrate.  **********
TYPE: S    S         S      S    S       S       S       S       S       S          D         "
ZG,100.0,73.52941176470588,Trotz dieses Wachstums verlor der Ort seine Selbstständigkeit durch die Eingemeindung nach Den Helder.,Durt ikmeindig nach den Helder hätt der Ort trotz em Wachstum sienie Selbständigkeit verloren.,10,2,2,"REF:  ****  *********  trotz  dieses  wachstums  verlor  der  ort  seine  selbstständigkeit  durch     die     eingemeindung    nach       den  helder.
HYP:  durt  ikmeindig  nach   den     helder     hätt    der  ort  trotz  em                 wachstum  sienie  selbständigkeit  verloren.  ***  *******
TYPE: I     I          S      S       S          S       C    C    S      S                  S         S       S                S          D    D      "
LU,100.0,50.0,In Kriegszeiten wurde das Schloss stärker befestigt.,"Ich erisitte ist das Schloss, dercher befestigt wurde.",6,0,1,"REF:  in   kriegszeiten  wurde  das  ********  schloss  stärker    befestigt.
HYP:  ich  erisitte      ist    das  schloss,  dercher  befestigt  wurde.    
TYPE: S    S             S      C    I         S        S          S         "
SG,100.0,44.11764705882353,Hinweise auf eine steinerne Ringmauer konnten nicht gefunden werden.,Hivis Ufe Steinoni Ringmur hät nükrene Quunde werde.,8,1,0,"REF:  hinweise  auf  eine      steinerne  ringmauer  konnten  nicht   gefunden  werden.
HYP:  hivis     ufe  steinoni  ringmur    hät        nükrene  quunde  werde.    *******
TYPE: S         S    S         S          S          S        S       S         D      "
LU,100.0,12.5,Epping erworben.,Apping erworbe.,2,0,0,"REF:  epping  erworben.
HYP:  apping  erworbe. 
TYPE: S       S        "
SG,100.0,40.36697247706422,"Währenddessen pachtet Elke Berger zusätzlich das Luxushotel „Park’s“, um ihr Personal beschäftigen zu können.","Während dessen hat Elkeberger zorsetzlach Luxus Hotel Parks bachtet, damit sie ihres Personalbeschäftiger kann.",14,0,0,"REF:  währenddessen  pachtet  elke  berger      zusätzlich   das    luxushotel  „park’s“,  um        ihr    personal  beschäftigen  zu                    können.
HYP:  während        dessen   hat   elkeberger  zorsetzlach  luxus  hotel       parks      bachtet,  damit  sie       ihres         personalbeschäftiger  kann.  
TYPE: S              S        S     S           S            S      S           S          S         S      S         S             S                     S      "
ZH,100.0,43.47826086956522,In dieser Zeit war intensives Touren angesagt.,Iderezit ist intensiv sture aug sidxi.,6,1,0,"REF:  in        dieser  zeit      war    intensives  touren  angesagt.
HYP:  iderezit  ist     intensiv  sture  aug         sidxi.  *********
TYPE: S         S       S         S      S           S       D        "
GR,100.0,43.42105263157895,Die Krieger konnten hierdurch dem militärisch überlegenen Gegner ausweichen.,Krieger en Doduri an militärischeberlegener Gegner können Mus wicha.,9,0,0,"REF:  die      krieger  konnten  hierdurch  dem                     militärisch  überlegenen  gegner  ausweichen.
HYP:  krieger  en       doduri   an         militärischeberlegener  gegner       können       mus     wicha.     
TYPE: S        S        S        S          S                       S            S            S       S          "
BE,100.0,40.32258064516129,"In den beiden Ländern herrschten unterschiedliche Netzwerk-Infrastrukturen, die den Austausch von Informationen erschwerten.",Etabeter Lander hei ungersädlichi Netzwach Infrastrukture kerscht od Rustusch für Informatione heschwert.,12,1,0,"REF:  in        den     beiden  ländern        herrschten  unterschiedliche  netzwerk-infrastrukturen,  die  den       austausch  von           informationen  erschwerten.
HYP:  etabeter  lander  hei     ungersädlichi  netzwach    infrastrukture    kerscht                    od   rustusch  für        informatione  heschwert.     ************
TYPE: S         S       S       S              S           S                 S                          S    S         S          S             S              D           "
